year,volume,issue,article_number,editorial,authors,title
2010,5,3,3,,Tanja Engelmann & Friedrich W. Hesse,How digital concept maps about the collaborators’ knowledge and information influence computer-supported collaborative problem solving
2010,5,3,4,,Christof Wecker & Karsten Stegmann & Florian Bernstein & Michael J. Huber & Georg Kalus & Ingo Kollar & Sabine Rathmayer & Frank Fischer,S-COL: A Copernican turn for the development of flexibly reusable collaboration scripts
2010,5,3,5,,Anne Gerdes,Revealing preconditions for trustful collaboration in CSCL
2010,5,4,0,editorial,Gerry Stahl & Friedrich Hesse,Beyond folk theories of CSCL
2010,5,4,1,,Ruth Kershner & Neil Mercer & Paul Warwick & Judith Kleine Staarman,Can the interactive whiteboard support young children’s collaborative communication and thinking in classroom science activities?
2010,5,4,2,,Meng Yew Tee & Dennis Karney,Sharing and cultivating tacit knowledge in an online learning environment
2010,5,4,3,,Sinem Siyahhan & Sasha A. Barab & Michael P. Downton,Using activity theory to understand intergenerational play: The case of Family Quest
2010,5,4,4,,Maria Beatrice Ligorio & Giuseppe Ritella,The collaborative construction of chronotopes during computer-supported collaborative professional tasks
2011,6,1,0,editorial,Gerry Stahl & Friedrich Hesse,CSCL in Asia
2011,6,1,1,,Chee-Kit Looi & Hyo-Jeong So & Yancy Toh & Wenli Chen,"The Singapore experience: Synergy of national policy, classroom practice and design research"
2011,6,1,2,,Manu Kapur,Temporality matters: Advancing a method for analyzing problem-solving processes in a computer-supported collaborative environment
2011,6,1,3,,Suneeta A. Pathak & Beaumie Kim & Michael J. Jacobson & Baohui Zhang,Learning the physics of electricity: A qualitative analysis of collaborative processes involved in productive failure
2011,6,1,4,,Zi-gang Ge,Exploring e-learners' perceptions of net-based peer-reviewed English writing
2011,6,1,5,,Michael Glassman & Min Ju Kang,The logic of wikis: The possibilities of the Web 2.0 classroom
2011,6,1,6,,Baruch B. Schwarz & Yaron Schur & Haim Pensso & Naama Tayer,Perspective taking and synchronous argumentation for learning the day/night cycle
2011,6,2,0,editorial,Gerry Stahl & Friedrich Hesse,Let a hundred flowers bloom; let a hundred schools of thought contend
2011,6,2,1,,Carol Chan,Bridging research and practice: Implementing and sustaining knowledge building in Hong Kong classrooms Carol K. K. Chan
2011,6,2,2,,Manoli Pifarré & Judith Kleine Staarman,Wiki-supported collaborative learning in primary education: How a dialogic space is created for thinking together
2011,6,2,3,,Robert L. Jorczak,An information processing perspective on divergence and convergence in collaborative learning Robert L. Jorczak
2011,6,2,4,,Bas Kolloffel & Tessa H. S. Eysink & Ton de Jong,Comparing the effects of representational tools in collaborative and individual inquiry learning
2011,6,2,5,,Michael A. Evans & Eliot Feenstra & Emily Ryon & David McNeill,"A multimodal approach to coding discourse: Collaboration, distributed cognition, and geometric reasoning"
2011,6,2,6,,Erin Walker & Nikol Rummel & Kenneth R. Koedinger,Designing automated adaptive support to improve student helping behaviors in a peer tutoring activity
2011,6,2,7,,Ulrike Cress & Katrin Wodzicki & Martina Bientzle & Andreas Lingnau,CSCL for intellectually disabled pupils: Stimulating interaction by using a floor control mechanism
2011,6,3,0,editorial,Gerry Stahl & Friedrich W. Hesse & Nancy Law,Tweets from #cscl2011
2011,6,3,1,,Cliff Lampe & Donghee Yvette Wohn & Jessica Vitak & Nicole B. Ellison & Rick Wash,Student use of Facebook for organizing collaborative classroom activities
2011,6,3,2,,Fengfeng Ke & Alicia F. Chávez & Pei-Ni L. Causarano & Antonio Causarano,Identity presence and knowledge building: Joint emergence in online learning environments?
2011,6,3,3,,Hao-Chuan Wang & Carolyn P. Rosé & Chun-Yen Chang,Agent-based dynamic support for learning from collaborative brainstorming in scientific inquiry
2011,6,3,4,,Shiou-Wen Yeh & Jia-Jiunn Lo & Jeng-Jia Huang,Scaffolding collaborative technical writing with procedural facilitation and synchronous discussion
2011,6,3,5,,Dejana Mullins & Nikol Rummel & Hans Spada,Are two heads always better than one? Differential effects of collaboration on students’ computer-supported learning in mathematics
2011,6,3,6,,Alyssa Friend Wise & Ming Ming Chiu,Analyzing temporal patterns of knowledge construction in a role-based online discussion
2011,6,3,7,,Francesca Pozzi,The impact of scripted roles on online collaborative learning processes
2011,6,4,0,editorial,Gerry Stahl,Collaborating around the tabletop
2011,6,4,1,,Pierre Dillenbourg & Michael Evans,Interactive tabletops in education
2011,6,4,2,,Steven E. Higgins & Emma Mercier & Elizabeth Burd & Andrew Hatch,Multi-touch tables and the relationship with collaborative classroom pedagogies: A synthetic review
2011,6,4,3,,Taciana Pontual Falcão & Sara Price,Interfering and resolving: How tabletop interaction facilitates co-construction of argumentative knowledge
2011,6,4,4,,Eyal Szewkis & Miguel Nussbaum & Tal Rosen & Jose Abalos & Fernanda Denardin & Daniela Caballero & Arturo Tagle & Cristian Alcoholado,Collaboration within large groups in the classroom
2011,6,4,5,,Giulia Gelmini-Hornsby & Shaaron Ainsworth & Claire O’Malley,Guided reciprocal questioning to support children’s collaborative storytelling
2011,6,4,6,,Inge Molenaar & Ming Ming Chiu & Peter Sleegers & Carla van Boxtel,Scaffolding of small groups’ metacognitive activities with an avatar
2011,6,4,7,,Donatella Cesareni & Francesca Martini & Ilaria Mancini,"Building a community among teachers, researchers and university students. A blended approach to training"
2012,7,1,0,editorial,Gerry Stahl,Ethnomethodologically informed
2012,7,1,1,,Christian Greiffenhagen,Making rounds: The routine work of the teacher during collaborative learning with computers
